Cities,Hotel,Review,Sentiment
Puncak,Royal Safari Garden Resort  & Convention,"Untuk ini harus beli di front office/loby utama hotel royal safari -breakfast time jam 7 sd 10 pagi, kalau tempatnya penuh harus waiting list.",Neutral
Puncak,Royal Safari Garden Resort  & Convention,"Kalau sudah selesai renovasinya(penambahan fasilitas), saya dan keluarga pasti menginap lagi ke sini.",Neutral
Puncak,Royal Safari Garden Resort  & Convention,ini yang ke 3 kali kita menginap disini.,Neutral
Puncak,Royal Safari Garden Resort  & Convention,Rasanya menginap 1 malam kurang cukup.,Neutral
Puncak,Royal Safari Garden Resort  & Convention,Lain kali bolehlah saya kembali lagi kesini.,Neutral
Puncak,Yasmin Puncak Hotel ,"makanan cukuplah, kolam renang besar dan banyak permainan itu kelebihan buat keluarga.",Neutral
Puncak,Yasmin Puncak Hotel ,"Cukup untuk anak-anak tidur di dipan tersebut Kamar dengan AC, TV layar datar.",Neutral
Puncak,Yasmin Puncak Hotel ,Hotel tidak di pinggir jalan besar.,Neutral
Puncak,Yasmin Puncak Hotel ,"Menu Breakfast cuma nasi goreng, bubur ayam, dan tumisan sayur, yang rasanya standar.",Neutral
Puncak,Yasmin Puncak Hotel ,"Namun boleh order omelet, french fries+sosis.",Neutral
Puncak,Yasmin Puncak Hotel ,Kids playground tersedia indoor dan outdoor.,Neutral
Puncak,Yasmin Puncak Hotel ,Sarapan tersedia cukup banyak pilihan walau rasanya so so.,Neutral
Puncak,The Pinewood Lodge & Organic Farm,Mati listrik berkali kali dan tidak langsung otomatis ke genset.,Neutral
Puncak,The Pinewood Lodge & Organic Farm,Telpon tidak nyala.,Neutral
Puncak,The Pinewood Lodge & Organic Farm,banyak spot foto2.,Neutral
Puncak,The Pinewood Lodge & Organic Farm,cuma view-nya gunungnya kurang dapet.,Neutral
Jakarta Barat,Hotel Santika Premiere Slipi Jakarta,"Okelah kalau discan buat keamanan seperti dimall, tapi kalau manual buka sendiri, kasih liatin.",Neutral
Jakarta Barat,Hotel Santika Premiere Slipi Jakarta,Beberapa lampu di kamar juga tidak berfungsi.,Neutral
Jakarta Barat,Hotel Santika Premiere Slipi Jakarta,"Peralatan mandi sudah waktunya diganti, mengingat hotel ini merupakan hotel berbintang.piyama sudah robek, handuk sudah berubah warna.",Neutral
Jakarta Barat,Hotel Santika Premiere Slipi Jakarta,"Hotel amenities hanya disediakan untuk 1 orang, walaupun kapasitas kamar untuk 2 orang.kami harus telepon dulu untuk mendapatkan extra amenitiesnya.",Neutral
